"Day","Meeting Time","Group Name","Location Name","Address","City"
"Tuesday","6:05am","Eye-Opener","Hope Community Church","821 Buck Jones Rd","Cary"
"Tuesday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","9:00am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","10:30am","Any Lengths Group","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","12:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","6:00pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","6:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","6:30pm","Original Recipe Big Book Step Study","Greenwood Forest Baptist Church","110 Se Maynard Rd.","Cary"
"Tuesday","6:45pm","No Reservations","Pleasant Grove Church","1528 Davis Drive","Cary"
"Tuesday","8:00pm","11th Step at 11 Group","1st Reformed Church of Cary ","555 SW Maynard Road","Cary"
"Tuesday","8:00pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","8:00pm","YRAC Big Book","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","10:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Tuesday","8:00pm","Clayton Big Book","Horne Memorial United Methodist Church","121 E. Second St.","Clayton"
"Tuesday","12:00pm","RTP Lunch Bunch","Cedar Forks Baptist Church","5117 S. Miami Blvd.","Durham"
"Tuesday","5:30pm","RTP Lunch Bunch","Cedar Forks Baptist Church","5117 S. Miami Blvd.","Durham"
"Tuesday","7:00pm","Into Action","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Tuesday","8:00pm","Rule #62 Group","Franklinton Senior Center","602 East Main St.","Franklinton"
"Tuesday","5:30pm","Let Go and Let God","Family Dollar Circle","527 Plaza Circle","Garner"
"Tuesday","8:00pm","Garner Big Book Group","Ernest Myatt Presbyterian Church","4926 Fayetteville Rd.","Garner"
"Tuesday","12:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Tuesday","8:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Tuesday","5:30pm","New Start Group","Church of the Holy Innocents","210 S. Chestnut St","Henderson"
"Tuesday","7:00pm","There Is A Solution","Holly Springs United Methodist Church","108 Avent Ferry Rd","Holly Springs"
"Tuesday","12:00pm","Crossroads in Recovery","Crossroads Church","1301 S Main Street","Lillington"
"Tuesday","8:00pm","Louisburg Spanish AA Meeting","Our Lady of the Rosary Roman Catholic Church","937 N. Main St.","Louisburg"
"Tuesday","6:30am","Traditions","Jenkins Memorial Methodist Church","725 N. Boylan Ave.","Raleigh"
"Tuesday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Tuesday","8:00am","Jaywalkers","Pullen Memorial Baptist Church","1801 Hillsborough St.","Raleigh"
"Tuesday","12:00pm","First Things First Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Tuesday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Tuesday","12:00pm","Tuesday - Thursday-Nooners","Hillyer Memorial","718 Hillsborough St","Raleigh"
"Tuesday","12:30pm","Epiphany Group","Hayes Barton Baptist Church","1800 Glenwood ave","Raleigh"
"Tuesday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Tuesday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Tuesday","5:30pm","Happy Hour Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Tuesday","5:30pm","Sobriety at School","Bostian Hall","2721 Pilsbury Cir","Raleigh"
"Tuesday","5:45pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Tuesday","6:00pm","Oasis Group","St Andrews Presbyterian Church","7506 Falls of the Neuse Rd","Raleigh"
"Tuesday","6:15pm","Departure Group","Journey Church","3500 Spring Forest Rd","Raleigh"
"Tuesday","6:30pm","Turning Point Group","Wake Medical Center","3000 New Bern Ave","Raleigh"
"Tuesday","6:30pm","Women's Step Meeting","Greystone Baptist Church","7509 Leadmine Rd.","Raleigh"
"Tuesday","7:00pm","Big Book Group","Holy Trinity Lutheran Church","2723 Clark Ave.","Raleigh"
"Tuesday","7:00pm","Jumping Off Place","St Timothy's Episcopal Church","4523 Six Forks Rd.","Raleigh"
"Tuesday","7:00pm","North Raleigh Group","Soapstone Chapel","10301 Old Creedmoor Rd","Raleigh"
"Tuesday","7:00pm","Soul Food Step Study","The Shepherds Table, Church of the Good Shepherd","121 Hillsborough Street","Raleigh"
"Tuesday","7:00pm","Spring Forest Recovery Group","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Tuesday","7:00pm","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Tuesday","7:00pm","Wombley's Big Book Study","Brooks Ave Church of Christ","700 Brooks Ave","Raleigh"
"Tuesday","7:30pm","Honeycutt Road Group","North Raleigh United Methodist Church","8501 Honeycutt Rd","Raleigh"
"Tuesday","7:30pm","Midtown Literature Study","Intergroup Office"," 3948 Browning Place - Room 347","Raleigh"
"Tuesday","8:00pm","Big Book Group","Holy Trinity Lutheran Church","2723 Clark Ave.","Raleigh"
"Tuesday","8:00pm","Crabtree Discussion Group","Highland United Methodist Church","1901 Ridge Road","Raleigh"
"Tuesday","8:00pm","Downtown Group","","124 South Salsbury St.","Raleigh"
"Tuesday","8:00pm","Hills Group","St Timothy's Episcopal Church","4523 Six Forks Rd.","Raleigh"
"Tuesday","8:00pm","Light Group","St John's Metropolitan Comm. Church","805 Glenwood Ave.","Raleigh"
"Tuesday","8:00pm","New Hope Group","St Mark's Episcopal Church","1725 North New Hope Rd.","Raleigh"
"Tuesday","8:00pm","Principles Group","St Mark's Episcopal Church","1725 North New Hope Rd.","Raleigh"
"Tuesday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Tuesday","8:00pm","Twelve & Twelve Group","Hudson Memorial Presbyterian Church","4921 Six Forks Rd.","Raleigh"
"Tuesday","8:00pm","Unity Group","New Hope Baptist Church","4301 Louisburg Rd.","Raleigh"
"Tuesday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Tuesday","8:00pm","Westminster Group","Westminister Presbyterian Church","301 East Whitaker Mill Rd.","Raleigh"
"Tuesday","12:00pm","Wake Forest Nooners","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Tuesday","8:00pm","Wake Forest Group","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Tuesday","7:00pm","Tuesday Women's Meeting","St Eugene's Catholic Church","608 Lions Club Rd","Wendell"
"Wednesday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Wednesday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Wednesday","12:00pm","Living in the Solution","Apex Masonic Lodge","408 E williams st","Apex"
"Wednesday","12:00pm","One Noon at a Time Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Wednesday","12:00pm","Simple Solutions","Apex Masonic Lodge","408 E williams st","Apex"
"Wednesday","8:00pm","Apex Group","Apex Masonic Lodge","408 E williams st","Apex"
"Wednesday","6:05am","Eye-Opener","Hope Community Church","821 Buck Jones Rd","Cary"
"Wednesday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","9:00am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","12:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","6:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","6:30pm","Chapter 7 Group","Cary Wake Medical Center","1900 Kildaire Farm Rd","Cary"
"Wednesday","7:00pm","Foxhall","Crosspointe Church","6911 Carpenter Fire Station Rd","Cary"
"Wednesday","7:30pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","8:00pm","Cary Young People's Group","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","8:00pm","One Day at a Time","Christ the King Lutheran Church","600 Walnut St.","Cary"
"Wednesday","8:00pm","Regla #62","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","10:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Wednesday","12:00pm","Meeting Only - Not a Group","111 Lee Court - Clayton","111 Lee Court","Clayton"
"Wednesday","8:00pm","Reaching Out Group","Jones Cafe-Downtown","415 E Main St","Clayton"
"Wednesday","12:00pm","RTP Lunch Bunch","","5117 S. Miami Blvd.","Durham"
"Wednesday","6:30am","Sunrise Surrender","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Wednesday","12:00pm","Lunch Bunch","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Wednesday","8:00pm","Living Sober Group","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Wednesday","8:00pm","Fuquay-Varina Group","Fellowship Bible Church","401 S. Main St.","Fuquay-Varina"
"Wednesday","12:00pm","A New Freedom","The Capital Church","1308 Hwy 70 West","Garner"
"Wednesday","8:00pm","Design For Living","Garner United Methodist Church","201 Methodist Dr.","Garner"
"Wednesday","12:00pm","Henderson Central Group","Gillburg United Methodist Church","4815 Hwy 39","Gillburg"
"Wednesday","12:00pm","Crossroads in Recovery","Crossroads Church","1301 S Main Street","Lillington"
"Wednesday","8:00pm","New Life Group","Saint Albans Episcopal Church","300 Mosby Ave","Littleton"
"Wednesday","8:00pm","Louisburg 12 Step Group","Louisburg Baptist Church","302 North Main St.","Louisburg"
"Wednesday","6:30am"," 11th Step Prayer and Meditation Meeting","Christ Episcopal Church","120 E. Edenton St.","Raleigh"
"Wednesday","6:30am","A Members Eye View","Christ Episcopal Church","120 E. Edenton St.","Raleigh"
"Wednesday","6:30am","What Now?","Community United Church of Christ","814 Dixie Trail","Raleigh"
"Wednesday","8:30am","Rise and Shine","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Wednesday","10:30am","Early Risers Group","Longview Methodist Church","2312 Milburnie Rd.","Raleigh"
"Wednesday","12:00pm","First Things First Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Wednesday","12:00pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Wednesday","12:00pm","Literature at Lunch","Intergroup Office"," 3948 Browning Place - Room 347","Raleigh"
"Wednesday","12:30pm","Healing Hour","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Wednesday","12:30pm","Oasis Group","St Andrews Presbyterian Church","7506 Falls of the Neuse Rd","Raleigh"
"Wednesday","12:30pm","Place of Miracles Meeting","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Wednesday","5:30pm","Happy Hour Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Wednesday","5:45pm","Gateway Group","Ephesus Baptist Church","6767 Hillsborough St.","Raleigh"
"Wednesday","5:45pm","Wednesday Womens Group","Fairmont United Methodist Church","2501 Clark Ave","Raleigh"
"Wednesday","6:30pm","2001 Group","Healing Place of Wake County","1251 Goode St.","Raleigh"
"Wednesday","6:30pm","Multiple","The Healing Place for Women","3304 Glen Royal Rd","Raleigh"
"Wednesday","7:00pm","Men's Meeting","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Wednesday","8:00pm","Agnostics and Others","Unitarian Universalist Fellowship of Raleigh","3313 Wade Avenue","Raleigh"
"Wednesday","8:00pm","Longview Group","Milner Memorial Presbyterian Church","1950 New Bern Ave.","Raleigh"
"Wednesday","8:00pm","Non Smoking Group","St Michaels Episcopal Church","1520 Canterbury Rd.","Raleigh"
"Wednesday","8:00pm","North East Street Group","Emmaus House","10 North East Street","Raleigh"
"Wednesday","8:00pm","North Raleigh Group","Soapstone Chapel","10301 Old Creedmoor Rd","Raleigh"
"Wednesday","8:00pm","Progress Not Perfection","Our Lady of Lourdes Church","2718 Overbrook Dr.","Raleigh"
"Wednesday","8:00pm","Spanish Meeting","St Raphael Catholic Church","5801 Falls of Neuse Rd","Raleigh"
"Wednesday","8:00pm","The Way Out","Celebration Church","8700 Capital Blvd","Raleigh"
"Wednesday","8:00pm","Transmitelo","St. John's Baptist Church","1615 Oberlin Rd.","Raleigh"
"Wednesday","8:00pm","Valley Group","St Giles Presbyterian Church","5101 Oak Park Rd.","Raleigh"
"Wednesday","8:00pm","Volver a Empezar","SPANISH - Volver a Empezar Meets Here","4427 St. James Church Rd.","Raleigh"
"Wednesday","9:30pm","After Hours Group","Camel 24 Fellowship","4015 Spring Forest Rd.","Raleigh"
"Wednesday","12:00pm","Wake Forest Nooners","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Wednesday","6:00pm","Sisters of Sobriety of Wake Forest","Wake Forest United Methodist Church","905 S. Main Street","Wake Forest"
"Wednesday","7:30pm","Acceptance Group","St Catherine of Siena Parish","520 W Holding Ave","Wake Forest"
"Wednesday","8:00pm","Wendell Group","Covenant Presbyterian Church","125 Selma Rd","Wendell"
"Thursday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Thursday","8:00pm","Sendero de Vida","Palm Tree Square","1501 N. Raleigh St, Ste. 3","Angier"
"Thursday","8:00pm","Green Level Group","Green Level Baptist Church","8509 Green Level Church Rd.","Apex"
"Thursday","8:00pm","Holly Springs Group","Triangle Community Church","4216 Kildare Farm Rd","Apex"
"Thursday","6:05am","Eye-Opener","Hope Community Church","821 Buck Jones Rd","Cary"
"Thursday","6:30am","Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","9:00am","Be Still ... Mid-Morning Meditation Group","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","12:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","12:00pm","West Cary Noon","Westwood Baptist Church","200 West High Street","Cary"
"Thursday","6:00pm","Greenwood Forest Group","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","6:00pm","Jurassic Spark","Good Hope Baptist Church","6628 Good Hope Church Road","Cary"
"Thursday","6:00pm","Living Now","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","7:00pm","Channel of Serenity","1st Reformed Church of Cary ","555 SW Maynard Road","Cary"
"Thursday","7:00pm","Log Cabin Group","Kirk of Kildare Presbyterian","200 High Meadow Dr.","Cary"
"Thursday","8:00pm","11th Step at 11 Group","1st Reformed Church of Cary ","555 SW Maynard Road","Cary"
"Thursday","8:00pm","Maynard Road Group","Greenwood Forest Baptist Church","110 Se Maynard Rd.","Cary"
"Thursday","10:00pm","Last Call","Triangle Alano Club","177 High House Rd.","Cary"
"Thursday","8:00pm","Clayton Big Book","Horne Memorial United Methodist Church","121 E. Second St.","Clayton"
"Thursday","12:00pm","RTP Lunch Bunch","","5117 S. Miami Blvd.","Durham"
"Thursday","5:30pm","RTP Lunch Bunch","Cedar Forks Baptist Church","5117 S. Miami Blvd.","Durham"
"Thursday","6:30pm","11th Step at 11 Group","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Thursday","6:30pm","Beginners - Wake Forest","Wake Forest Alano Club","1672-B NC 96 Hwy","Franklinton"
"Thursday","8:00pm","Willow Springs Group","First United Methodist Church","402 N. Main St.","Fuquay-Varina"
"Thursday","5:30pm","","Sovereign King Church","527 PLAZA CIRCLE","Garner"
"Thursday","5:30pm","Let Go and Let God","Family Dollar Circle","527 Plaza Circle","Garner"
"Thursday","8:00pm","Garner Big Book Group","Ernest Myatt Presbyterian Church","4926 Fayetteville Rd.","Garner"
